事業所名称,事業所郵便番号,事業所所在地
ジョイランド本店,537-0023,大阪府大阪市東成区玉津一丁目４番１号　ドマーニコルレレ１Ｆ
どうさけん,537-0023,大阪府大阪市東成区玉津二丁目４番１２－１号
メモリー,537-0023,大阪府大阪市東成区玉津一丁目５番２４号　有馬玉津ビル１階
アール・プラネート,537-0023,大阪府大阪市東成区玉津三丁目２番３号
放課後等デイサービスアストロキッズ永井,537-0024,大阪府大阪市東成区東小橋二丁目７番２０号
ことばラボ,537-0024,大阪府大阪市東成区東小橋一丁目７番２２号
おおきな木,537-0024,大阪府大阪市東成区東小橋一丁目２番４号　メゾンドール玉造１Ｆ
児童発達支援・放課後等デイサービス　スマイル　玉造店,537-0024,大阪府大阪市東成区東小橋一丁目４番９号　タカヨダンスビル１階
放課後デイサービスくるみ,537-0024,大阪府大阪市東成区東小橋一丁目１９番１１号　イグレック玉造２階
コペルプラス　鶴橋教室,537-0024,大阪府大阪市東成区東小橋三丁目１４番３１号　鶴橋ライフビル５階５０１号室
デフノバハウス,537-0025,大阪府大阪市東成区中道四丁目１４番５号　１階
ラララ・ランド,544-0003,大阪府大阪市生野区小路東一丁目２１番１３号　カーサノベンタ２階Ａ号室
児童発達支援・放課後等デイサービス　ぐっど　生野小路,544-0003,大阪府大阪市生野区小路東二丁目１６番１５号
ひだまりの家　布施,544-0003,大阪府大阪市生野区小路東一丁目１８番１１号　１階
みらくるゆーすと,544-0004,大阪府大阪市生野区巽北一丁目４番３号
児童スポーツデイ　ココペリ,544-0004,大阪府大阪市生野区巽北三丁目１４番３号　コスモビル２０１号室
グッドスマイル,544-0004,大阪府大阪市生野区巽北一丁目２５番２４号　２階
放課後等デイサービスラピ,544-0004,大阪府大阪市生野区巽北一丁目２０番２６号　たつしろビル２階
ＢＥＡＲ　ＫＩＤＳ　生野店,544-0004,大阪府大阪市生野区巽北二丁目１４番１８号　ゴッドフィールドⅢ１階
ナチュラルこどもハウス,544-0011,大阪府大阪市生野区田島四丁目２番８号
子どもゆうゆう広場　みらくるちっぷ,544-0011,大阪府大阪市生野区田島一丁目１３番３号
おおきな木大池橋,544-0011,大阪府大阪市生野区田島一丁目２番２１号
児童発達支援・放課後等デイサービス　リレーション,544-0012,大阪府大阪市生野区巽西三丁目１９番２２号
癒しの森Ｋｉｄｓ　いくの,544-0013,大阪府大阪市生野区巽中二丁目１５番２２号１階
ハッピーライフいくの,544-0014,大阪府大阪市生野区巽東二丁目８番３２号　荻田第４ビル３Ｆ
コペルプラス　生野教室,544-0014,大阪府大阪市生野区巽東二丁目８番３２号　荻田第４ビル２階２０３・２０５号室
ＫＯＫＯ,544-0014,大阪府大阪市生野区巽東二丁目１８番９号　巽コーポ１１１号室
ＫＯＫＯ,544-0014,大阪府大阪市生野区巽東二丁目１８番３号　巽マンション１０１
デイサービスまりも,544-0015,大阪府大阪市生野区巽南五丁目１５番２２号
児童発達支援・放課後等デイサービス　ガーデン,544-0023,大阪府大阪市生野区林寺五丁目６番２０号
児童発達支援　スマイル　本店,544-0023,大阪府大阪市生野区林寺四丁目８番３号　２階
児童発達支援・放課後等デイサービス　きずなの虹,544-0031,大阪府大阪市生野区鶴橋四丁目１１番１５号　２階
こどもデイサービスさくら中川,544-0032,大阪府大阪市生野区中川西二丁目４番１２号
アミーゴ,544-0032,大阪府大阪市生野区中川西二丁目２１番１７号
りんごの木,544-0033,大阪府大阪市生野区勝山北二丁目８番１８号　３０１号室
ぴかり,544-0033,大阪府大阪市生野区勝山北五丁目４番１４号
こどもデイサービスさくら,544-0033,大阪府大阪市生野区勝山北五丁目６番１４号　グランドライン勝山１階
エミュール,544-0033,大阪府大阪市生野区勝山北三丁目１２番１１号　２階
運動・音楽特化型児童デイ　ぽぷらの樹　生野,544-0034,大阪府大阪市生野区桃谷五丁目１１番１５号　１Ｆ
Ｕ－ＫＩＤ’Ｓ　ＭＯＭＯＤＡＮＩ,544-0034,大阪府大阪市生野区桃谷一丁目１３番１号
ハッピーライフあさひ,535-0001,大阪府大阪市旭区太子橋三丁目２番８号
児童発達支援ルームわかな,535-0002,大阪府大阪市旭区大宮二丁目２７番２４号　小川ハイツ１０２号室
グッドフレンズ,535-0002,大阪府大阪市旭区大宮五丁目４番２７号　パレ城北１０２
ふわふわきっず,535-0002,大阪府大阪市旭区大宮一丁目１４番２４号
あくもキッズ,535-0002,大阪府大阪市旭区大宮四丁目２２番１７号　１階
きらめキッズあさひ,535-0002,大阪府大阪市旭区大宮四丁目６番１１号
あんじゅすまいる,535-0003,大阪府大阪市旭区中宮一丁目１番２号　城北筋ロードサイドテナント１階
ワンスター,535-0003,大阪府大阪市旭区中宮一丁目１２番２１号
スマイルＯＮＥ,535-0003,大阪府大阪市旭区中宮五丁目２番２６号　中宮ビル１階
スマイルＴＨＲＥＥ,535-0003,大阪府大阪市旭区中宮五丁目２番２６号　中宮ビル３階
スマイルＦＯＵＲ,535-0003,大阪府大阪市旭区中宮五丁目２番２６号　中宮ビル４階
放課後等デイサービスももパーク,535-0004,大阪府大阪市旭区生江二丁目３番２９号　アビリティダイワ１０３
ユニケアこどもデイサービス旭,535-0005,大阪府大阪市旭区赤川二丁目５番１３号　サムティ城北公園通１階Ａ号室
アーチ学習支援教室,535-0005,大阪府大阪市旭区赤川三丁目９番１６号
ワンデイキッズ,535-0011,大阪府大阪市旭区今市一丁目１番４号　グローハイツ千林１階
コペルプラス千林教室,535-0012,大阪府大阪市旭区千林二丁目１番１２号　アスクハイツ１階
児童発達支援・放課後等デイサービス　ここいろ,535-0012,大阪府大阪市旭区千林一丁目１１番８号　ＢＯＯＫＳビル１階
すきっぷ,535-0013,大阪府大阪市旭区森小路二丁目７番１８号
ＣｈｉｃｏＢｏｔｅ　Ｄｏｓ,535-0021,大阪府大阪市旭区清水三丁目８番３１号　城ビル２階
多機能型児童通所支援　Ａ－Ｚ　ＫＩＤ’Ｓ,535-0021,大阪府大阪市旭区清水三丁目３３番１２号
児童発達支援・放課後等デイサービスＲふらっぷ,535-0021,大阪府大阪市旭区清水三丁目７番２８号　中井第三ビル１０１号室
ことばのたまご,535-0022,大阪府大阪市旭区新森二丁目２４番６号
ＹＣＣもこもこ新森教室,535-0022,大阪府大阪市旭区新森二丁目２１番６号　リッチモンド１０　１０３号室
放課後等デイサービスサパートス,535-0022,大阪府大阪市旭区新森四丁目１２番１７号　ホワイトハイツ１０３号
いっぽアカデミー清水教室,535-0022,大阪府大阪市旭区新森七丁目１５番１１号　メゾン・ド・アルモニー１階
放課後等デイサービスはなはな,535-0031,大阪府大阪市旭区高殿五丁目４番２７号
ＡＩＡＩ　ＰＬＵＳ　高殿,535-0031,大阪府大阪市旭区高殿三丁目３番１３号
オールケア旭ノア,535-0031,大阪府大阪市旭区高殿六丁目９番２３号
夢たまご　城東古市,536-0001,大阪府大阪市城東区古市一丁目２２番２０号　髙井アークビル１階
夢たまご　城東古市第二教室,536-0001,大阪府大阪市城東区古市一丁目２３番２３号
夢たまご　城東古市北館教室,536-0001,大阪府大阪市城東区古市一丁目２２番６号
児童発達支援ルーム　すてあーず,536-0002,大阪府大阪市城東区今福東一丁目１番１６号　１階
はじめのいっぽ今福教室,536-0002,大阪府大阪市城東区今福東三丁目１７番１３号　ハイマートすみれ１０１
ルペリ,536-0003,大阪府大阪市城東区今福南一丁目８番５号　ドムス蒲生　１階
総合支援型デイふらっと,536-0004,大阪府大阪市城東区今福西二丁目６番６号　グランピア今福１０２号室
ユニシア,536-0004,大阪府大阪市城東区今福西一丁目１番１４号
児童発達支援・放課後等デイサービス　るみっく,536-0005,大阪府大阪市城東区中央一丁目８番３３号
放課後等デイサービス　成,536-0005,大阪府大阪市城東区中央一丁目８番２０号　シャトー中央２Ｆ
放課後等デイサービス　いろは,536-0005,大阪府大阪市城東区中央一丁目８番２０号　シャトー中央２Ｆ
運動療育はいたっち　蒲生四丁目教室,536-0005,大阪府大阪市城東区中央一丁目６番９号　ラ・ビスタ城東２０１
蒲生四丁目にこにこツリーハウス,536-0005,大阪府大阪市城東区中央一丁目８番２７号　アルマンド蒲生２階
ここいろキッズ虹,536-0006,大阪府大阪市城東区野江三丁目２４番１７号
ＢＥＡＲ　ＫＩＤＳ　野江店,536-0006,大阪府大阪市城東区野江三丁目９番１２号　内代センプレビル１階
サニーＳｍｉｌｅ,536-0007,大阪府大阪市城東区成育二丁目５番２１号　ビレッジ紅梅１Ｆ
こどものひだまり　成育,536-0007,大阪府大阪市城東区成育二丁目１３番１５号　アイビーマンション１０２
メイプル,536-0008,大阪府大阪市城東区関目五丁目３番９号
児童発達支援・放課後等デイサービスニコ,536-0008,大阪府大阪市城東区関目五丁目１８番４号　エステート関目２０３号室
児童ほっと・ステーション,536-0008,大阪府大阪市城東区関目一丁目２０番２２号
コロル城東,536-0008,大阪府大阪市城東区関目三丁目１４番５号
ｂｅｅ．ｆｏｒ　ｋｉｄｓ,536-0008,大阪府大阪市城東区関目四丁目７番１９号
児童発達支援くらっぴ,536-0008,大阪府大阪市城東区関目二丁目３番４号　ユニバーサル関目ビルディング２Ａ
ＬＥＧＯＮ　Ｋｉｄｓ　Ｓ,536-0008,大阪府大阪市城東区関目二丁目３番４号　ユニバーサル関目ビルディング４階
児童発達支援あーち,536-0008,大阪府大阪市城東区関目二丁目３番４号　２Ｂ
きっず・らるげっと,536-0008,大阪府大阪市城東区関目一丁目１９番１号
ＬＥＧＯＮ　Ｋｉｄｓ＋,536-0008,大阪府大阪市城東区関目二丁目３番４号　ユニバーサル関目ビルディング３階
あっぷるｔｒｅｅｈｏｍｅ放出,536-0011,大阪府大阪市城東区放出西三丁目１０番２号
伝,536-0013,大阪府大阪市城東区鴫野東二丁目２６番１８号
児童発達支援・放課後等デイサービス　みんなの広場　鴫野,536-0014,大阪府大阪市城東区鴫野西四丁目１０番１４号　２Ｆ
ＡＩＡＩ　ＰＬＵＳ　鴫野,536-0014,大阪府大阪市城東区鴫野西四丁目１番２４号
そら,536-0014,大阪府大阪市城東区鴫野西一丁目１４番１６号
のびのびパーク令樹,536-0014,大阪府大阪市城東区鴫野西二丁目１０番１２号　レイジュビル４階
のびのびパーク令樹お勉強クラス,536-0014,大阪府大阪市城東区鴫野西二丁目１０番８号　セントポーリア大阪城１０１
こぱんはうすさくら鴫野教室,536-0014,大阪府大阪市城東区鴫野西五丁目２２番１２号　アマントリビエールシギノ２階
ＪＡＰＡＮ　ＫＩＤＳ　京橋校,536-0016,大阪府大阪市城東区蒲生一丁目５番９号
